Gene	FDR_Pvals
CIB1	0.00234007168352147
HPGD	0.00234007168352147
PARP9	0.0023541859603028016
CACNG6	0.0023718826362370137
PSMD8	0.0023718826362370137
OXA1L	0.0023718826362370137
HIGD2A	0.0023718826362370137
COMT	0.0023943833693967024
TNFRSF14	0.0023990390312239635
AF064858.10	0.002424413339248549
INSC	0.002467281172145778
KLHL2	0.002467281172145778
AMFR	0.002494747920649006
PAX3	0.002514754028439978
CXorf21	0.002514754028439978
C1orf147	0.002531069561484667
TSSC4	0.0025434109081631595
UBE2D1	0.0025434109081631595
AC016910.1	0.0025434109081631595
SEZ6L	0.0025548013434724777
ANAPC2	0.0025548013434724777
ECH1	0.002569894722665292
LINC01344	0.002569894722665292
CSNK2B	0.002569894722665292
AC104809.4	0.0025710254393788274
RP11-195M16.3	0.002586238445376171
BATF3	0.002610612912473831
INE1	0.0026272673583558584
RP11-476D10.1	0.0026581806132381903
MED27	0.002680603957070257
XXyac-YR38GF2.1	0.002683861588438667
OTUD1	0.0026841847924389457
GPR1	0.00273163230505568
PSMC3	0.002745118600308539
RP6-159A1.4	0.002745118600308539
BFAR	0.0028071901740295297
IL34	0.0028071901740295297
LAPTM4B	0.0028071901740295297
P3H1	0.0028071901740295297
AIP	0.0028142547238115155
CREB1	0.0028209504954560326
ARFGAP1	0.0028209504954560326
RP11-314C9.1	0.0028209504954560326
ZNF442	0.0028209504954560326
CCDC18	0.002835019236787763
RPLP1	0.002840973626210518
RAB33B	0.0028827981989117523
MAK	0.0029246503296582655
PLAG1	0.0029246503296582655
RP3-395M20.12	0.002933544845947823
VPS51	0.002933544845947823
SHARPIN	0.0029353186791280204
MOGS	0.0029872196662882942
SLMAP	0.0029872196662882942
SARS	0.0029977278339220377
AC007278.3	0.0030028006591553322
ABCC2	0.0030028006591553322
TTC9B	0.003005604866485471
MCTP1	0.003005604866485471
SYNGR2	0.003059913539914234
ZNF429	0.0030688072605427738
CIZ1	0.0031052871648283653
RP11-120C12.3	0.0031052871648283653
RP1-68D18.4	0.0031052871648283653
CIAO1	0.0031052871648283653
MTA2	0.0031052871648283653
RP5-998N21.4	0.0031052871648283653
TMEM71	0.0031264567631403206
ADAM12	0.0031264567631403206
CNGA4	0.0031325017345282843
RP11-440I14.3	0.003138906049793424
FOXP4	0.003163053224231153
GPR162	0.003163053224231153
ATG101	0.003170506673065188
FAM224B	0.003170506673065188
LINC00470	0.003170506673065188
AVL9	0.0032433806587642807
DHPS	0.0032433806587642807
RNF146	0.0032433806587642807
SMARCD1	0.003309651247692055
MDH2	0.003309651247692055
SSSCA1	0.0033523175150392873
PPM1G	0.003356118966989829
CHRAC1	0.003356118966989829
PUF60	0.003356118966989829
SUMO1P1	0.0033871709128550373
FAM110A	0.00344903497817342
WDFY3	0.003463960022231055
FAM106DP	0.003463960022231055
LRRC41	0.003475970754026426
ZNF85	0.0035142601756594934
CLCN7	0.0035252515829697173
VPS8	0.003529819556260117
LINC01271	0.0035395993401728977
UNQ6494	0.0035395993401728977
EIF3L	0.0035411929007546634
CHD7	0.0035531160242278322
NELFB	0.0035649682894497528
CTIF	0.003573679030234406
CRLF2	0.003573679030234406
MVD	0.003575820005140904
FAS	0.003575820005140904
DYNLL2	0.003575820005140904
RNF187	0.003575820005140904
C1orf35	0.003575820005140904
CLK4	0.003575820005140904
ZNF222	0.0035930313497992963
TUFM	0.0035930313497992963
ZNF547	0.0035930313497992963
RP11-38G5.4	0.0035930313497992963
NAP1L1P2	0.0035930313497992963
CASP5	0.0035930313497992963
SH3BP1	0.003601051291924877
RHOT2	0.003645164401497383
XRCC6	0.003645164401497383
ECSIT	0.003651396001405899
EIF3D	0.003669549109689496
RPS15	0.003669549109689496
RP11-791M20.1	0.003669549109689496
NOXRED1	0.003669549109689496
RNA5SP39	0.00373309409847399
SLC1A3	0.00375383712907437
TMED8	0.00375383712907437
LCOR	0.00375383712907437
RNASEL	0.00375383712907437
ZNF443	0.00375383712907437
RP11-396C23.4	0.00376685827722659
NACAP3	0.003782819468876977
ATP13A1	0.003786919909113107
FAM65B	0.003804995161180845
RP11-365F18.6	0.0038261665430921687
TUFT1	0.0038261665430921687
UBA52	0.0038580440501540304
ARHGAP19	0.0038580440501540304
TESK1	0.0038580440501540304
TGFA	0.003946565400985981
LHPP	0.003951344827422994
P4HA2	0.003951344827422994
SARS2	0.003951344827422994
KANSL1L	0.00395188264290086
CREB3	0.003999344682494779
JMJD8	0.004032399780700074
C10orf76	0.004052339699260302
TNFAIP6	0.004086727395270903
RP1-13D10.5	0.00411421159905428
WIZ	0.004123195921602407
RP11-571E6.1	0.004199854497622984
LGALSL	0.004199854497622984
FAM3A	0.004199854497622984
AQP7P1	0.004199854497622984
PEA15	0.004199854497622984
RP11-211G3.2	0.004199854497622984
ELF2	0.004215396618227007
UBE2M	0.004215396618227007
SAMD9L	0.004215396618227007
CD68	0.004215933242864748
TLR10	0.004229119449463342
SERF2	0.0042571274867881865
SLC25A5	0.004278329817879984
CBWD3	0.004294015625519656
FCHO2	0.004294015625519656
SLC35E1	0.004294015625519656
AES	0.004294015625519656
QARS	0.004294015625519656
XG	0.004294015625519656
FAM126B	0.004294751117250189
RNASEH2CP1	0.00432294097282694
SIPA1L2	0.00432294097282694
FCGR1CP	0.004332009834952088
ATP5D	0.004352313243929456
RP3-455J7.3	0.004383406661612888
TMLHE-AS1	0.004407659812088401
FXYD5	0.004439312703760247
CCAR2	0.004447811305426971
PRR34-AS1	0.0044635035840692346
THAP4	0.0044635035840692346
RP1-193H18.2	0.0044635035840692346
KIDINS220	0.0044716711482732105
ZNF252P	0.004496726389377569
ZNF581	0.004505122565081199
GNPTG	0.004521369053960242
MGAM2	0.004555788724084728
SRPK1	0.00463231303148936
RTEL1P1	0.00463231303148936
PLEKHF2	0.0046552571067832
ZDHHC24	0.004671058083659922
KIAA0825	0.004678160542568207
SLC52A2	0.004678160542568207
ZNF598	0.004685857287786371
AMPD2	0.004748558132626536
TRIM11	0.0048391674185646995
DSC2	0.004848037939313411
CCDC126	0.004848037939313411
SLC25A1	0.004860366370697479
SFXN3	0.004860366370697479
OSBPL8	0.004912005239806006
CASC4	0.004912005239806006
IRGQ	0.0049316314720781575
JAK2	0.0049316314720781575
VIM-AS1	0.0049341316803100735
TCAF2	0.0049341316803100735
GAPDHP52	0.004938277834422835
ATPAF2	0.004948161141868351
MGMT	0.00508052301369041
PFKL	0.005082969755973541
RP11-334C17.5	0.005082969755973541
RNF126	0.005082969755973541
RHOF	0.005178907944105658
PROK2	0.005195267906177334
INTS11	0.005203286264142017
FAM45A	0.005203286264142017
NDUFAF3	0.005203286264142017
MCTP2	0.005203286264142017
RTEL1	0.005216425274266326
MBOAT2	0.005287243790476042
FCER1A	0.005289105724577846
OLFM1	0.005293752019093123
U91328.22	0.005308467896623176
RP11-421L21.3	0.00531038672635374
CAPN10	0.00531038672635374
RNH1	0.005335111587807802
FKBP9	0.0053559004258372876
RP4-673D20.3	0.0053559004258372876
GOLGA7	0.005357465556619015
LGR6	0.005357465556619015
CDC37	0.005405274475046651
C8orf82	0.005405274475046651
GMDS	0.005405274475046651
URM1	0.005405274475046651
CELSR3	0.005485219063811385
ZNF439	0.005487000105066522
CCDC22	0.005487000105066522
RP11-54F2.9	0.005487000105066522
SCRN3	0.005511422412202854
MAN2B1	0.005511422412202854
EVC	0.005518360459572909
MEF2A	0.005518360459572909
PCBP2	0.005518360459572909
MAD1L1	0.0056193358611505454
PHKG2	0.005703508966804237
CSNK1A1L	0.005703508966804237
KIF1B	0.005703508966804237
C22orf39	0.005703508966804237
ZNF564	0.005703508966804237
SURF2	0.005703508966804237
SHD	0.005709579109657307
RN7SL634P	0.005710660334244354
ZNF487	0.005715424271547874
LINC02217	0.005715424271547874
FTX	0.005715424271547874
TVP23B	0.005715424271547874
IRF3	0.005786702127458525
ASPH	0.005786702127458525
PTGDR2	0.005851972920055731
MAFA-AS1	0.0058650028912857624
SWT1	0.0058650028912857624
EIF3I	0.00589507326235196
MSL3	0.005896032801055035
ZBTB37	0.005900490907521466
F2RL1	0.00590199489844407
GS1-124K5.12	0.00590199489844407
SLC35D2	0.0059325158815458695
RNU6-1280P	0.005941663588281055
GALT	0.005941663588281055
CTD-3035K23.3	0.005970342052847079
TKFC	0.005970342052847079
NABP1	0.005990079918776285
RP11-511B23.2	0.005990079918776285
RP11-439A17.9	0.005990079918776285
BCL6	0.005990079918776285
PXK	0.005990079918776285
PSMC5	0.005990079918776285
RP4-734G22.3	0.005990079918776285
ORC2	0.005990079918776285
GALNT7	0.005990079918776285
EIF4E3	0.005990079918776285
PHLPP1	0.006053642856227946
DENND6B	0.006053642856227946
RP11-787I22.3	0.006085819724171212
RP3-395M20.2	0.0060982472561075295
LRIF1	0.0060982472561075295
CDK9	0.006165407229394494
NRBF2	0.006174958595140299
FKBP2	0.006184012860632167
MAP2K6	0.006184012860632167
AC113189.5	0.006184012860632167
LRFN2	0.006184012860632167
LINC01203	0.006184012860632167
PRMT1	0.006200471056251893
RP11-404F10.2	0.006201027595020562
TMED9	0.006204937835823794
ZNF638	0.006205946427430207
BSND	0.0062339865921220965
TMEM134	0.006246775424873811
RRM2P3	0.006257011260163292
NCOA7	0.006259482677920558
CCDC71L	0.006305933200926732
WNT2B	0.006305933200926732
ANXA3	0.006305933200926732
KIAA0141	0.006305933200926732
CTC-756D1.1	0.006305933200926732
HNRNPM	0.006321794514439682
TP53INP1	0.006321823319113499
RP11-13A1.1	0.006336118567786955
IPO8	0.006336118567786955
CREB5	0.006336118567786955
AMN1	0.00634575365503031
DAPP1	0.00634575365503031
NSMAF	0.006354893477269509
PTAR1	0.006355850364013798
PLSCR1	0.006359299877943076
RP11-65L3.2	0.006386528847134493
RP11-326C3.15	0.0063935998975850825
HSDL2	0.006397440374810849
RP1-39G22.7	0.006414332590554975
HDAC4	0.006414332590554975
BMP1	0.006414332590554975
DNAJC3-AS1	0.006414332590554975
ASNSD1	0.006470368154354372
CRMP1	0.006501606187239776
NOX5	0.006539151639298421
PSMB2	0.006568194636533844
WDR83OS	0.006568194636533844
AKAP17A	0.006568194636533844
MAPK11	0.006578649232483442
AF064858.11	0.006632832181612876
ITGB3BP	0.006753818863041633
ZNF229	0.006753818863041633
RP5-1017F8.2	0.0067887544857593365
PLSCR2	0.00679696583132677
BRCA1	0.00679696583132677
SENP2	0.006850954221220996
COMMD7	0.006850954221220996
LINC00202-2	0.006863275987007691
SLC10A3	0.006863275987007691
PHTF1	0.006872227174229742
BEND2	0.006872227174229742
SULF2	0.006872227174229742
DEPDC5	0.0069118422031576015
TBC1D9B	0.0069118422031576015
GTF2H2C	0.0069118422031576015
ZKSCAN1	0.0069118422031576015
DOT1L	0.006975917486224858
RHOXF1P1	0.006977902464657642
APPL2	0.006977902464657642
SNX10	0.006977902464657642
AGO4	0.006985721602082632
GSC	0.007024775135566671
BAG6	0.007024775135566671
POLG	0.007024775135566671
SH3GLB2	0.007024775135566671
CTU2	0.007055248337847295
RELL2	0.007055248337847295
RP2	0.007055248337847295
ELOVL5	0.007072534411945415
TTC38	0.007086906915052036
MAGED2	0.007089555650963471
LRRC6	0.007089555650963471
CTD-2302E22.1	0.007089555650963471
DIABLO	0.007108466014371319
MAZ	0.0071292975615846995
ASS1P1	0.007131137229726959
CTB-111H14.1	0.007131137229726959
STK11IP	0.007131137229726959
CXorf23	0.0071483466571858004
ZNF44	0.0071483466571858004
SNRPA	0.0071483466571858004
KRT8P43	0.0071483466571858004
MTCO1P11	0.0071483466571858004
ANOS1	0.0071483466571858004
FAM129B	0.0071483466571858004
FYB	0.0071483466571858004
VAPB	0.0071483466571858004
TMCC1-AS1	0.0071483466571858004
TNPO1	0.0071483466571858004
TDRD9	0.0071483466571858004
AK1	0.0071483466571858004
RP11-93B14.4	0.0071483466571858004
GADD45GIP1	0.0071483466571858004
LINC00282	0.0071483466571858004
RP11-242D8.1	0.007149112544254403
LINC00272	0.007149112544254403
TRPV2	0.007149112544254403
PAX8	0.007164610821635648
GTF2F1	0.007220080632345778
ZNF776	0.007246655194415551
RP11-1319K7.1	0.007248324419701335
ZNF695	0.007248324419701335
CHP1	0.007248324419701335
RP11-101E5.1	0.007248324419701335
DAZAP1	0.007248324419701335
RP11-330O11.3	0.007248324419701335
AIM2	0.007248324419701335
CXXC1	0.007262618382323595
RPLP2	0.007306266294135842
RACK1	0.0073155551603931905
RC3H1	0.007325173727701962
DDX60L	0.007329359844888169
PDCL3P7	0.007333058445380515
EMC2	0.007340620502151283
XPNPEP2	0.007340620502151283
RUBCN	0.007340620502151283
LOXL1	0.007340620502151283
BOD1L1	0.007340620502151283
PNMA5	0.007340620502151283
LINC00593	0.007340620502151283
LINC01700	0.007348536909446995
AUP1	0.007385975736858062
ACO2	0.00752360082139152
PPP2R1A	0.007529007801692558
LMNB1	0.007538433163615404
MAP2K7	0.007544539237208753
CTC-303L1.1	0.007545287999578787
UBR2	0.007545287999578787
PKNOX1	0.007545287999578787
RP1-80N2.3	0.007555519419054717
SPAG6	0.007607902463866106
RP11-258C19.4	0.0076162927707665445
EP300	0.0076162927707665445
NSUN3	0.0076162927707665445
AC009950.2	0.007650181491994212
NFKBIZ	0.007650181491994212
STAG1	0.007663962518411418
TAS2R40	0.007672850722570581
RP11-153I24.5	0.007672850722570581
HTT	0.00768085564851997
ZNF91	0.007682410542312293
LINC00116	0.007682410542312293
ZNF182	0.007682410542312293
RP11-443B7.2	0.007682410542312293
AC004069.2	0.007692952107953969
MZF1	0.00770327803634662
C11orf49	0.007721652990122737
SORL1	0.007750776397932996
PLEKHM2	0.007750776397932996
PPP2R5D	0.007750776397932996
LYPLAL1	0.007750776397932996
EME2	0.007750776397932996
PXYLP1	0.007767922236809994
HUS1	0.007825410492962074
STXBP5	0.007825410492962074
STK32C	0.007825410492962074
DACT3	0.007825410492962074
AC007228.11	0.007825410492962074
TTYH2	0.007825410492962074
LY6G5B	0.007825410492962074
RP11-109E24.1	0.007825410492962074
RP11-909N17.2	0.007825410492962074
RP4-612B15.3	0.007825410492962074
MTCO3P11	0.007825410492962074
KARS	0.007825410492962074
ZNF626	0.007828464037366336
PLCB3	0.007828464037366336
KCNC4	0.007846475551745183
LINC00513	0.007858410636209361
BTN2A1	0.007858410636209361
NMRK1	0.00786299950743783
UACA	0.00786299950743783
IRAK1	0.00786299950743783
ZNF232	0.0078758116675301
ZKSCAN3	0.007885197391871455
TNFSF4	0.007902384816626487
MYLIP	0.007902384816626487
CDHR2	0.007948132128705081
DDX41	0.007961889357507877
TCAIM	0.008031988181646658
TCF25	0.008061203783590709
DSN1	0.008061203783590709
ZNF157	0.008100751463038305
GRHPR	0.008109820723359331
UBR5-AS1	0.008109820723359331
C19orf60	0.008147983076204336
OR7E140P	0.008165796082819607
IL6ST	0.008174537116036412
CPA3	0.008184144279120158
PLXNC1	0.008188542829678114
ATG4B	0.008188542829678114
MTFR2	0.008195876468679919
PRPF31	0.008293497414609477
PDK2	0.008370318496801275
RP11-706O15.7	0.008418170299854035
MLST8	0.008418170299854035
ZFYVE16	0.008418170299854035
RRP7A	0.008418170299854035
EYS	0.008443945897310234
ZNF200	0.008474329019558387
RPS6KA3	0.008474329019558387
COPZ1	0.008475535311098827
TMEM65	0.008475535311098827
RP11-166N6.2	0.008484501218317194
RP11-495P10.10	0.008491114799850421
GK	0.008545654033654213
ZNF628	0.008550657295973473
LRRK2	0.0085859048553512
LINC00659	0.0085859048553512
FBXL6	0.0085859048553512
RP4-753D10.5	0.0085859048553512
LRRC70	0.0085859048553512
TRMT2A	0.008617924039958858
ZNF438	0.008621126830262492
CC2D1B	0.008636082984552255
MPDU1	0.008636082984552255
RP11-676B18.1	0.008704235125874637
SLF2	0.008704235125874637
LINC01093	0.008704235125874637
CDK14	0.008723742839471024
ZNF84	0.00874649576424909
AKAP12	0.008765622994243097
GCAT	0.008798138827063207
RPS29P12	0.008815273712318333
CFLAR	0.008869638912587194
FAM50A	0.008869638912587194
BNIP3P26	0.008869638912587194
ENTPD1-AS1	0.008876993902829512
RP11-326C3.11	0.00888702596774361
RGS18	0.008904968497320365
PHF19	0.008920674035870201
IL12B	0.008951487549528877
ADAMTS7P1	0.008951487549528877
CNTRL	0.008951487549528877
NDUFAF6	0.008951487549528877
ZNF585A	0.008951487549528877
CROCC2	0.008951487549528877
DAP	0.008951487549528877
AC002511.3	0.00896384693857016
ZNF763	0.008968314941829602
LSS	0.008995761793210048
RP11-414H17.5	0.009032799691366528
LINC01907	0.009150604950092116
SH3GLB1	0.009150604950092116
PIK3CA	0.009185787407063026
CPSF1	0.009274873519122005
ARMC8	0.009297058717184396
CYP4F12	0.009358640300172825
SHROOM4	0.009358640300172825
MAP3K5	0.009358640300172825
RPL28	0.009406305276113889
DHX30	0.00940804772751562
HNRNPA1P64	0.00940804772751562
NEURL4	0.009439829963807989
PTMS	0.009439829963807989
HINFP	0.009439829963807989
HCG11	0.009439829963807989
CCL23	0.009439829963807989
H2AFY2	0.009450552967314627
EIF3FP3	0.009454271447703097
CDKL5	0.009454271447703097
LINC00930	0.009454271447703097
RSBN1	0.00947361720866585
SPNS1	0.009473676648986093
KDELR1	0.009473676648986093
SEC22B	0.009473676648986093
IKBKE	0.009490088666506705
RP11-83A24.2	0.009492255096440208
ZNF180	0.009511949912682673
ACSF3	0.009511949912682673
DHTKD1	0.009511949912682673
