Gene	Pvals
ZKSCAN7	0.00016570415504627535
NDUFA10	0.00016570415504627535
LURAP1L	0.0001668928153869159
ACY3	0.0001672038785125333
CIZ1	0.0001672038785125333
ATP5D	0.000167333851770792
CES4A	0.00016786411277427597
LYRM4	0.00016786411277427597
SDHAF3	0.00016786411277427597
TTC8	0.00016786411277427597
GGA1	0.00016828978119341108
CHRAC1	0.0001711798504116919
MYLIP	0.0001711798504116919
ALPK1	0.0001732725994490744
NAT9	0.00017341747970010858
RP11-77H9.8	0.00017341747970010858
RP11-552F3.4	0.00017726910899360337
PEA15	0.0001923895184066863
RP11-326C3.13	0.00019846448670429249
PSMD8	0.00020142100103258056
PCBP2	0.00020142100103258056
DISC1	0.00020290222125243586
SPESP1	0.00020909037978904653
PUF60	0.00021321858713799422
FASTK	0.00021321858713799422
EDF1	0.00021817568526857832
NME3	0.00022688573738033208
BAX	0.0002286351351407325
RFNG	0.00023444639495547983
JMJD8	0.00023526400245037224
SYNGR2	0.00024047945872787867
AK1	0.00024047945872787867
POU5F1	0.00024066702642733782
RP5-848E13.5	0.00024066702642733782
GRASP	0.00024066702642733782
C1orf174	0.0002423311732324725
CNGB1	0.0002423311732324725
SHD	0.00024321111134417448
TMEM189	0.00024405543567000183
HM13	0.00024644584100240485
ALYREF	0.00024774873389850154
CTC-756D1.1	0.0002479482522814202
PARD3	0.0002479482522814202
WNT10A	0.0002479482522814202
BEND2	0.0002479482522814202
EIF1AXP1	0.0002479482522814202
TXLNB	0.000250389696453341
TPPP3	0.000250389696453341
HBA2	0.000250389696453341
RPS12	0.00026474800726304654
SNAPC2	0.00026483423126381103
UBE2M	0.00026599451901506587
STK25	0.00026797590245827537
ECH1	0.0002702512378970247
ZNF608	0.00027161651337717055
RCE1	0.0002759971450422949
MAP3K10	0.0002765542019509709
CIAO1	0.0002804067408531301
DYNLL2	0.0002804067408531301
CFAP58-AS1	0.0002804067408531301
FXYD5	0.0002804067408531301
DRG2	0.00028105354466839125
NDUFA3	0.00028105354466839125
B4GALNT4	0.00028144922826170307
DDOST	0.0002825364863045318
RP11-68I3.10	0.00028299842857583326
CTIF	0.0002905327335613721
AES	0.0002918707302151049
MYBPC2	0.0002918707302151049
SARS	0.00029846348045667976
REM2	0.00029846348045667976
EPB41L5	0.00030482974249714775
ELOF1	0.00031181974236572696
IL5RA	0.00031181974236572696
HIGD2A	0.00032739017967143983
VDAC2	0.0003325896245311176
UBXN11	0.0003385329704734616
EGR3	0.0003385329704734616
SULF2	0.0003394691213967306
CAMTA1	0.0003483237552704399
ADAD2	0.00035628423924527643
RABGGTA	0.00035639669458690544
ZNF493	0.0003655869498588894
AC009495.2	0.0003655869498588894
CTU2	0.0003658856188298336
EPPK1	0.00036750569702198534
RP11-196G18.3	0.00036750569702198534
ANAPC2	0.00036892047569081585
HNRNPL	0.0003717965102669063
GAPDHP52	0.0003717965102669063
POMC	0.00037181558551021486
TPSD1	0.00037181558551021486
THNSL1	0.0003729570194963847
FAM8A1	0.0003738278913275911
OR51B6	0.00037388898972798073
PRDM5	0.00037437534597660005
FAM3A	0.00038699679619391204
HS2ST1	0.00038699679619391204
NFKBID	0.00039074918739314773
MMP25-AS1	0.0003916809773618483
HBZ	0.0003922541537100886
NELFB	0.0003926185439099779
FAM129B	0.0003936879836770911
NSMAF	0.0003968078305521335
SEZ6	0.0003972425024132365
TUBGCP2	0.0003977148423605269
HIC1	0.00039830439567776474
UACA	0.0004049193389221846
MPDU1	0.0004085994895361409
LINC02009	0.00041286653331184533
GRHPR	0.0004136054586230626
ABHD17A	0.00041809584665465806
SNED1	0.00041869035855976217
PSMA6P1	0.00041869035855976217
S1PR2	0.0004193252528707618
WDR83OS	0.0004193252528707618
TLR10	0.00042037691864954074
SMTNL1	0.0004218635131501869
DHPS	0.0004286285681231738
ARMC2	0.0004288962004531878
PABPC1	0.00043409694193319727
TPSB2	0.00043409694193319727
CCDC22	0.00043545382368092667
AJAP1	0.00043883479239588576
TUFM	0.00043883479239588576
RP11-996F15.2	0.00043883479239588576
CRTAC1	0.0004402588893354935
SUMO1P1	0.00044169192762248124
HLA-DRB5	0.00044188254106996297
EPCAM	0.0004485120036632793
SNORA52	0.0004494586415169075
ST8SIA4	0.00045610664182363966
GNA15	0.00045751323661508494
RP11-13A1.1	0.0004605444396495523
VPS51	0.00046238036830509695
EIF2D	0.00046238036830509695
PPM1G	0.00046238036830509695
GTF2F1	0.0004679541748058416
SHANK1	0.00047155844939828254
C19orf24	0.00047253010696382504
AIP	0.0004758234473874387
CYP4F12	0.0004787202085816682
ARFGAP1	0.00048723876534831735
SSSCA1	0.00048801670097238227
MT-ATP8	0.0004900117378582358
HOXA9	0.0004977546105529327
MT-ATP6	0.0005059657024144179
CECR7	0.0005059657024144179
TRPV2	0.0005266259689996609
SNF8	0.0005301697532710551
ATF5	0.0005320409048087084
TMEM71	0.0005354527316817486
ASMT	0.0005395028698602335
GNPTG	0.0005395028698602335
MFSD12	0.0005418255765470236
MT-ND4L	0.0005418255765470236
OXA1L	0.0005418255765470236
ADGB	0.0005518438803593015
P4HA2	0.0005607046405089849
SEZ6L	0.000562248235060019
AC009950.2	0.000562248235060019
CST3	0.0005656815467913322
C1orf147	0.0005656815467913322
TMEM260	0.0005656815467913322
CH507-513H4.1	0.0005656815467913322
FCER1A	0.0005656815467913322
TNFRSF14	0.0005656815467913322
XRCC6	0.0005656815467913322
MAZ	0.0005656815467913322
PRMT1	0.0005656815467913322
SMARCD1	0.0005656815467913322
APH1A	0.000577415383668246
ZNF628	0.000577415383668246
LINC01271	0.0005797112393887741
ZNF598	0.0005797112393887741
DDRGK1	0.0005797112393887741
SUPT5H	0.0005797112393887741
BICDL2	0.0005826760356337241
PFKL	0.0005966306869646423
VPS8	0.0005978526913830361
RNF126	0.000610470254916045
LY6G5B	0.000610470254916045
WDR18	0.0006106146730056187
RELL2	0.0006154149350651171
KIAA1644	0.0006189507069167211
NR4A2	0.0006206976892535331
RPL28	0.0006411174163002939
LSS	0.0006411174163002939
EIF5A	0.0006411174163002939
MARCKSL1	0.000643092696521084
NAPA	0.000643092696521084
CCL23	0.000643092696521084
POLR3E	0.0006455269567052488
CDC37	0.0006455269567052488
AKAP17A	0.0006475743798400012
EIF3D	0.0006475743798400012
GSC	0.0006475743798400012
PHKG2	0.0006475743798400012
AP2S1	0.0006475743798400012
PTGES	0.0006708995958476226
AC007969.5	0.0006806211307032843
CCDC18	0.0006810495211443898
CSNK2B	0.0006835994419349211
ENHO	0.0006835994419349211
ZNF585B	0.000683937349453506
PKNOX1	0.0006859292497254247
THAP4	0.0006867605008930392
RP11-429G19.3	0.0006928156303855313
SIGLEC1	0.0006930018996284395
TSPEAR-AS1	0.0007005641470866704
NBN	0.0007005641470866704
STXBP5	0.0007005641470866704
APOA4	0.0007030081859782037
KIAA0319	0.0007096719357835385
PKN1	0.000712097161404695
TRIM11	0.000712097161404695
FBXW5	0.0007155588691909549
GPR162	0.0007155588691909549
CTD-2325P2.3	0.0007155588691909549
HPGD	0.0007155588691909549
CACNA1E	0.0007155588691909549
SESN1	0.0007256790593153963
ADAM12	0.0007256790593153963
CARD8	0.0007256790593153963
POLR2L	0.000725785961185867
MAD1L1	0.0007285768787913215
CDKN1A	0.0007285768787913215
SLMAP	0.0007294670833253909
MT-ND4	0.0007294670833253909
RP3-466P17.3	0.0007371564991292737
GPR137	0.0007388567609400406
SARS2	0.0007502586609738871
PSMC5	0.0007531808666034163
ORC2	0.0007579048158274003
EZR	0.0007579734336988369
PI3	0.0007579734336988369
CPA3	0.0007579734336988369
RHOT2	0.0007579734336988369
LRRN2	0.0007579734336988369
TUBB4A	0.0007581137514019239
ZNF253	0.0007581137514019239
HLA-DMA	0.0007581137514019239
ATPAF2	0.0007599317267209811
OLFM1	0.0007622306525695286
CCDC71L	0.0007664082441116225
SPTBN4	0.0007690468579221356
RACK1	0.0007767630213987466
LUC7L	0.0007817360886035925
MED27	0.0007853052309579001
ZNF581	0.0007856608413609084
RRP7A	0.0007946147708541936
ELF2	0.0007969349784032471
VPS4A	0.0007969349784032471
ZNF385A	0.0007969349784032471
SMAD7	0.0007993279947204984
KIAA1958	0.0007993279947204984
CREB3	0.0007993279947204984
RP11-7F17.5	0.0007993279947204984
PANK4	0.0008080663885069627
GPR35	0.0008144090737491445
AD001527.4	0.0008165303717162859
SURF2	0.0008165303717162859
RP1-68D18.4	0.0008194682089101363
LRRC41	0.0008194682089101363
C22orf39	0.0008194682089101363
ZNF547	0.0008260370427939615
FKBP2	0.0008352435886329944
CD68	0.0008352435886329944
RNH1	0.0008352435886329944
TKFC	0.0008376843429551985
DOT1L	0.0008405925900445228
DIABLO	0.0008405925900445228
ATP13A1	0.0008511291041046166
C8orf82	0.0008544953903072252
TNFSF4	0.0008544953903072252
ACAP3	0.0008562314491422196
URM1	0.0008562314491422196
MVD	0.0008579970128894256
GOLGA7	0.0008579970128894256
CDHR2	0.0008846951446828686
CELSR3	0.0008872537023574595
CCAR2	0.0008929205520335639
BTN2A1	0.0008929205520335639
SFXN3	0.0008961712309948686
IPO11	0.0008990505665842747
OTUD1	0.0009040164602493489
MAF1	0.0009040164602493489
SLC35E1	0.0009070991545594932
CIB1	0.000907472620856907
MEF2D	0.0009125518860958271
SLC25A19	0.0009338110654358092
CPSF1	0.0009379728969748686
KARS	0.0009411253054706793
ERP29	0.0009584246758781205
TTC38	0.0009584246758781205
SP100	0.0009596561755929015
CHRNA4	0.0009694576829108723
BFAR	0.0009704089074591117
FCGR2B	0.0009805310243164063
POLG	0.0009892719339626406
PPP2R1A	0.0009977072366352299
RP11-326C3.15	0.0009977072366352299
EIF3FP3	0.0009977072366352299
ZCCHC7	0.0009977072366352299
OST4	0.0009977072366352299
SSH1	0.0009977072366352299
QARS	0.0010010959559526554
INTS11	0.0010010959559526554
GALT	0.001010164045190147
MTA2	0.0010144502631152718
AC093495.4	0.0010162990922820006
GADD45GIP1	0.0010162990922820006
MAP2K7	0.0010162990922820006
CREB1	0.001029769363949537
PLIN4	0.0010510889900695874
LINC00593	0.0010511329718311303
NBL1	0.001052169596060116
VAPB	0.0010558566594065003
TRIM28	0.0010558566594065003
PTGER4P2-CDK2AP2P2	0.0010558566594065003
STK11IP	0.0010558566594065003
TRIM9	0.0010642131962468149
ODF2L	0.0010654145808990517
EME2	0.0010875775611235287
KATNBL1	0.0010877163790601108
ZG16	0.0010887749723994832
CHD7	0.0011054731025755367
RPS11	0.001107290406269679
MCTP1	0.0011119340409505144
USP36	0.0011119340409505144
MGMT	0.0011131494007421703
LINC00243	0.0011183279486830632
CUTA	0.0011251452558597888
NSMF	0.0011406656134447036
C10orf76	0.0011406656134447036
LOXL1-AS1	0.0011408972423491118
HBB	0.0011513589154129476
RASSF4	0.0011726477440266484
NCOA7	0.0011734248993177706
MTFR2	0.0011734248993177706
IRF3	0.0011734248993177706
CAPN10	0.0011734248993177706
PNMA3	0.0011734248993177706
PXK	0.0011911250963949915
MZT2B	0.0011937860224520201
SBF1	0.0011937860224520201
KRT81	0.0011956248271218933
JOSD1	0.001209263633182583
LCOR	0.0012127994796290096
EIF2S3L	0.0012164278207733954
CYGB	0.001225164663420615
RP11-440I14.3	0.001228398086456569
PSMB6	0.001228398086456569
ADAM23	0.0012334225823620064
RP11-333A23.4	0.0012360509755698793
EFHB	0.0012521492701938477
MDH2	0.001263405602386157
BRSK1	0.0012703237151169976
C1QTNF4	0.001273616317743368
RPS2	0.001273616317743368
RP11-326C3.12	0.001273616317743368
MAK	0.0012794225825138456
SRC	0.0012966894979983157
SAMD9L	0.0012966894979983157
WNT2B	0.0013007679273058126
MZF1	0.0013121143668176098
NR4A1	0.0013241114410252799
EMP3	0.0013253597032434315
RP11-195M16.3	0.0013253597032434315
MOGS	0.001326187441157988
DEPDC5	0.001337889926103117
ENC1	0.001337889926103117
PARP9	0.0013403929863143231
LAPTM4B	0.0013436423295614727
ZNF252P	0.001344317968427026
TMED8	0.0013492206159579625
MT-ND5	0.0013492206159579625
SLC2A6	0.0013531351603863738
AC009404.2	0.001362762112110248
CYTL1	0.0013666414845740298
RAD23A	0.0013676544119132481
ELOB	0.0013700451195298373
CYP2E1	0.0013700451195298373
CHID1	0.0013700451195298373
IFIT5	0.0013749130446303666
MAN2B1	0.0013749130446303666
TMEM238	0.0013836805531069057
ZNF540	0.0013836805531069057
SLC25A5	0.0013838148927243278
MLST8	0.0013838148927243278
SLC10A3	0.001388098765374854
ZBTB37	0.001388098765374854
SRPK1	0.0013887045588604936
CBX3P2	0.0013898021966205574
PHLPP1	0.0013898021966205574
WIZ	0.0013958061737669603
TNFSF13B	0.0013958061737669603
SH3BP1	0.0014002765253415656
FAS	0.0014042186943799566
MT-CYB	0.0014042186943799566
LGR6	0.0014077373824212627
SCN1B	0.00141583450979607
GNL1	0.0014255685408532466
RTEL1	0.0014269626117136651
FAM45A	0.0014283713811718349
NDNF	0.0014299554473432329
INSIG1	0.0014337583787914796
APOC1P1	0.0014386113641019604
ZNF595	0.0014479775802895857
STK32C	0.0014479994088588226
TBC1D9B	0.0014547606934470687
ZBTB4	0.0014623148861428919
SORD	0.0014624761866572212
TNFRSF10B	0.0014642684794773128
LPIN2	0.0014833622199855716
HDAC4	0.0014848892230331224
IL12RB1	0.001493733247782623
IFIT2	0.001493733247782623
NOP9	0.001500354261937007
GNG10	0.0015204301107730035
RP4-753D10.5	0.00153094210101285
SHROOM4	0.0015334740827335472
NHEJ1	0.0015334740827335472
FGFRL1	0.0015450920430263072
TIMM50	0.0015475880397563236
RBMS1P1	0.0015475880397563236
ACO2	0.0015504970992631087
ACSF3	0.0015513000219018302
COPZ1	0.0015519873245433034
DAZAP1	0.0015519873245433034
FAM174B	0.0015519873245433034
CTD-3105H18.4	0.0015529482910603212
GGA2	0.0015648116874861465
AC061992.2	0.0015699705482622674
FLNA	0.001572205470810685
CDK9	0.001572581304398165
TRBV11-3	0.001572581304398165
ZNF658	0.001572581304398165
RP13-128O4.3	0.0015776027019194579
DDX60	0.0015832591153800816
CBWD3	0.0015832591153800816
HERC4	0.0015832591153800816
PABPC4	0.0015832591153800816
ST6GALNAC4	0.0015832591153800816
RP5-998N21.4	0.0015832591153800816
UBR2	0.0015832591153800816
FAM13A	0.0015832591153800816
UROS	0.0015832591153800816
FIS1	0.0015835628489462438
FCGR1CP	0.0015883897589211
AP1B1	0.0015931431336835618
PABPN1L	0.0015950016496357484
AC004069.2	0.001598591897188302
SPNS1	0.0016077665411515065
HLA-DPA1	0.0016077665411515065
NAB2	0.0016096753774680235
IL21R	0.0016148632106766953
CNOT9	0.001619345924696024
VASH1	0.0016229903759816084
OAF	0.0016400487725430212
IKBKE	0.0016416600480634494
MADD	0.0016416600480634494
KANSL1L	0.0016448844362750641
CD99P1	0.0016472504511421248
TESC	0.0016494171104237487
LINC01094	0.0016494171104237487
EIF4B	0.001656426045592675
MARC2	0.001656426045592675
CHP1	0.001656426045592675
CHMP4B	0.001656426045592675
AGO4	0.001656426045592675
SCARNA7	0.001656426045592675
C19orf60	0.001656426045592675
ACOX2	0.001656426045592675
RP11-476D10.1	0.001656426045592675
SLC52A2	0.001656426045592675
PRCD	0.001656426045592675
NOXRED1	0.001656426045592675
RP11-83A24.2	0.001656426045592675
RELA	0.001656426045592675
HNRNPM	0.001656426045592675
ZNF776	0.001656426045592675
MEF2A	0.00167140391118227
SCYL3	0.0016791289396355887
RP11-693J15.5	0.0016844413349229293
C6orf106	0.0016860124780705378
ZDHHC24	0.0016864640501808954
RP11-101E5.1	0.001693806564879603
TESK1	0.001698996692851801
TMEM134	0.0017056069580725132
CXXC1	0.0017226643518271907
SMARCB1	0.0017305950678616162
UBA1	0.0017305950678616162
IL17RE	0.0017305950678616162
LL21NC02-21A1.1	0.0017334232843644402
AVL9	0.0017450094556215694
SNHG15	0.0017471238348038378
RP11-430C7.4	0.0017472075499017669
RPS6KA3	0.0017472075499017669
ATP5B	0.0017584788824494676
UBE2D1	0.0017604914418000099
ENTPD1-AS1	0.001761189538981514
PTPRH	0.001761189538981514
HECW2	0.001761189538981514
ITGB4	0.001761189538981514
APBA1	0.0017741978011590913
TMCC1-AS1	0.0017834104702327321
SYCP2	0.0017838607568771005
PSMB2	0.001792521573340667
RP11-153I24.5	0.001799546731740238
ARHGAP19	0.0018003671453445391
FAM209A	0.0018003671453445391
HNRNPUL1	0.0018003671453445391
WDFY3	0.0018021658433576614
NDUFAF6	0.0018034052620081319
NTMT1	0.0018096371855937721
RABEP2	0.001817654752585421
PLCB3	0.0018443099684904035
HLA-DRB1	0.0018443099684904035
BNIP3P26	0.0018541342425860991
ZNF487	0.001856607524848124
DNAJC17	0.0018599936077204047
MTATP6P1	0.0018599936077204047
LINC00659	0.0018688350463421566
SNRPB	0.0018688350463421566
UNQ6494	0.0018815720262031325
RP11-7F17.3	0.0018815720262031325
OR7E140P	0.0018879922226343966
GRIN1	0.001899631007291004
ZNF200	0.001899631007291004
MAGED2	0.0019058443531535067
PPP1R16B	0.0019058443531535067
IL1R1	0.001914985446092964
PCP4L1	0.0019154975115659703
RAB33B	0.0019188824569732433
TMED9	0.0019188824569732433
FOXP4	0.0019188824569732433
SRRT	0.001927816639910919
HLA-DRA	0.0019279244120485111
IL18RAP	0.0019279244120485111
IL9RP3	0.0019279244120485111
CTRC	0.0019279244120485111
EIF3I	0.0019279244120485111
C9orf16	0.0019292328591954226
TMEM253	0.0019416719494832493
SEMA3B	0.00194269040891317
HEBP1	0.0019437374834316839
SLAMF9	0.0019437374834316839
TRIM22	0.0019437374834316839
SOAT2	0.0019526861075642786
LINC00116	0.0019565588730174094
MT-CO2	0.0019565588730174094
DSN1	0.0019565588730174094
TCF25	0.0019565588730174094
LDOC1L	0.001968374617057131
LDOC1	0.001983611235147102
SNX10	0.0019922651981315663
MIB2	0.0020005747713639096
RP11-7F17.8	0.00200747546336766
TGFBI	0.0020310089619165455
SP6	0.0020340916092015044
NACAD	0.0020340916092015044
PSMD11	0.0020340916092015044
BTBD6	0.0020340916092015044
RABL6	0.0020346381664020424
ATG4B	0.0020358661055504784
PGAP2	0.002038805596770082
CNR1	0.0020395371257424704
ASS1	0.0020499596471901488
RP11-443B7.1	0.0020588659734414776
C8orf31	0.002063532760585986
TSPEAR-AS2	0.002065893144498889
